country,year,total_patent,gerd_lag1,tertiary_lag1,eigen,efficiency
Austria,2011,1446,2.726,75.6237793,0.071,0.593
Belgium,2011,1265,2.062,67.82901001,0.139,0.585
Canada,2011,2941,1.825,61.65584946,0.24,0.339
Chile,2011,130,0.329,67.86342621,0.005,0.624
China,2011,17272,1.714,24.19849014,0.263,0.439
Czech,2011,194,1.337,63.94588089,0.011,0.575
Denmark,2011,1251,2.917,73.59667206,0.052,0.614
Finland,2011,1554,3.705,93.44780731,0.047,0.66
France,2011,7755,2.179,54.8817215,0.281,0.574
Germany,2011,18607,2.73,,0.436,0.658
Greece,2011,92,0.598,103.7962799,0.005,0.592
Hungary,2011,266,1.138,63.72238922,0.013,0.641
Ireland,2011,421,1.592,63.12643814,0.037,0.485
Italy,2011,3269,1.218,65.77429962,0.099,0.568
Korea,2011,10820,3.316,102.7910233,0.072,0.436
Mexico,2011,220,0.495,27.56347084,0.014,0.401
Netherlands,2011,3523,1.704,63.71601868,0.125,0.548
NewZealand,2011,329,,,0.014,0.496
Norway,2011,697,1.65,73.49385834,0.019,0.645
Poland,2011,294,0.721,74.75524902,0.024,0.64
Portugal,2011,149,1.535,65.60205078,0.007,0.692
Russia,2011,1137,1.052,,0.044,0.484
Singapore,2011,637,1.931,,0.044,0.478
Slovenia,2011,132,2.051,89.15319061,0.003,0.574
SouthAfrica,2011,345,0.737,,0.009,0.572
Spain,2011,1854,1.36,75.91094971,0.055,0.59
Sweden,2011,2843,3.168,73.67311096,0.095,0.614
Switzerland,2011,2510,,52.93772888,0.225,0.568
UK,2011,5791,1.646,58.92335129,0.327,0.509
US,2011,49274,2.735,92.62194824,0.607,0.79
Austria,2012,1407,2.668677896,78.49945068,0.077,0.59
Belgium,2012,1205,2.173324418,69.8425293,0.126,0.581
Canada,2012,3109,1.787140592,63.46731949,0.242,0.358
Chile,2012,120,0.351442057,72.2767868,0.006,0.477
China,2012,19058,1.780343022,25.64785004,0.3,0.454
Czech,2012,218,1.555706853,65.57000732,0.016,0.545
Denmark,2012,1152,2.944651358,76.75834656,0.047,0.64
Finland,2012,1653,3.618062809,94.9199295,0.059,0.701
France,2012,7739,2.191614526,55.62572861,0.269,0.592
Germany,2012,17945,2.805546283,,0.434,0.659
Greece,2012,116,0.671962477,109.1592636,0.007,0.624
Hungary,2012,239,1.186210703,62.5932312,0.013,0.649
Ireland,2012,373,1.560584767,67.79859161,0.032,0.518
Italy,2012,3327,1.201548465,65.56311798,0.083,0.613
Korea,2012,11354,3.591985221,100.747139,0.074,0.401
Mexico,2012,239,0.471291438,28.34149933,0.018,0.362
Netherlands,2012,3502,1.881314735,75.87854767,0.123,0.569
NewZealand,2012,337,1.230655271,,0.014,0.404
Norway,2012,713,1.627123451,73.66792297,0.029,0.61
Poland,2012,370,0.745884669,74.6585083,0.02,0.684
Portugal,2012,145,1.457413801,68.42896271,0.007,0.66
Russia,2012,1185,1.015448468,76.18489075,0.048,0.494
Singapore,2012,719,2.070650165,,0.05,0.479
Slovenia,2012,126,2.412971178,86.01754761,0.002,0.625
SouthAfrica,2012,384,0.734513757,,0.01,0.582
Spain,2012,1751,1.333407404,80.0379715,0.055,0.625
Sweden,2012,3139,3.18701791,72.82540131,0.114,0.647
Switzerland,2012,2629,,54.48451996,0.232,0.582
UK,2012,5758,1.649594164,59.14593124,0.288,0.536
US,2012,52534,2.765254833,93.90657806,0.612,0.809
Austria,2013,1485,2.91471878,78.93891144,0.075,0.582
Belgium,2013,1240,2.281140634,71.1920166,0.101,0.607
Canada,2013,3236,1.772328277,63.98077011,0.242,0.356
Chile,2013,146,0.362204702,75.93106842,0.002,0.686
China,2013,22534,1.912141,28.72566986,0.305,0.397
Czech,2013,256,1.782312212,65.6711731,0.014,0.662
Denmark,2013,1217,2.981247114,79.10832214,0.049,0.606
Finland,2013,1513,3.398323692,92.87734985,0.05,0.695
France,2013,8033,2.227065823,57.90901184,0.26,0.577
Germany,2013,17633,2.881655551,,0.433,0.635
Greece,2013,119,0.699567292,113.7406006,0.008,0.605
Hungary,2013,242,1.260691495,61.46318054,0.018,0.543
Ireland,2013,406,1.561192197,68.19725037,0.038,0.498
Italy,2013,3481,1.262190426,64.13355255,0.085,0.599
Korea,2013,12145,3.850404604,97.42758942,0.058,0.433
Mexico,2013,273,0.420960514,29.4718399,0.013,0.343
Netherlands,2013,3530,1.916273749,76.60666656,0.137,0.536
NewZealand,2013,367,,,0.013,0.443
Norway,2013,745,1.620871827,73.57134247,0.031,0.598
Poland,2013,379,0.880856744,73.9614563,0.023,0.643
Portugal,2013,164,1.378605993,68.51029205,0.006,0.626
Russia,2013,1149,1.027656902,75.90708923,0.047,0.45
Singapore,2013,791,1.919386176,,0.059,0.462
Slovenia,2013,156,2.560613009,87.01795959,0.003,0.788
SouthAfrica,2013,330,0.733629558,19.14365959,0.008,0.441
Spain,2013,1783,1.298770225,82.27033234,0.047,0.638
Sweden,2013,3051,3.230249051,68.81764984,0.097,0.637
Switzerland,2013,2448,3.186233073,55.52046967,0.212,0.594
UK,2013,6446,1.577157554,59.40211868,0.302,0.522
US,2013,58944,2.681662112,93.17549133,0.62,0.804
Austria,2014,1511,2.954918369,79.65540314,0.069,0.61
Belgium,2014,1233,2.330725158,72.11549377,0.103,0.597
Canada,2014,3074,1.705404188,65.33229828,0.207,0.319
Chile,2014,170,0.388699662,79.9562912,0.002,0.625
China,2014,25877,1.99786394,32.43367004,0.351,0.374
Czech,2014,269,1.899730463,65.08576965,0.014,0.596
Denmark,2014,1193,2.970481536,80.9310379,0.04,0.611
Finland,2014,1379,3.271372008,90.9941864,0.041,0.671
France,2014,8188,2.237025131,59.8487587,0.24,0.599
Germany,2014,17850,2.835986547,61.38684082,0.414,0.649
Greece,2014,126,0.811312099,116.3768234,0.006,0.634
Hungary,2014,252,1.386912396,57.06502151,0.014,0.576
Ireland,2014,423,1.565802252,71.69954681,0.035,0.49
Italy,2014,3506,1.301074753,62.29616165,0.087,0.599
Korea,2014,13212,3.951238982,95.60864258,0.057,0.47
Mexico,2014,312,0.425028177,30.30003929,0.017,0.422
Netherlands,2014,3628,1.929865453,,0.122,0.522
NewZealand,2014,368,1.15375195,77.26278687,0.011,0.558
Norway,2014,696,1.652377033,76.50003052,0.031,0.574
Poland,2014,425,0.870531929,71.85639954,0.024,0.623
Portugal,2014,158,1.3246765,66.13674164,0.006,0.666
Russia,2014,1093,1.027321227,77.85031891,0.034,0.447
Singapore,2014,803,1.923349243,,0.069,0.429
Slovenia,2014,142,2.564868238,85.28806305,0.005,0.718
SouthAfrica,2014,315,0.724879656,19.93049049,0.009,0.556
Spain,2014,1847,1.275231392,83.72563934,0.066,0.593
Sweden,2014,3157,3.260416604,63.21715927,0.107,0.652
Switzerland,2014,2439,,56.27014923,0.197,0.606
UK,2014,6368,1.620276874,57.03876114,0.326,0.502
US,2014,53801,2.70972319,88.72641754,0.625,0.802
Austria,2015,1539,3.084286721,79.15869904,0.082,0.657
Belgium,2015,1226,2.370016325,72.99739838,0.113,0.626
Canada,2015,3032,1.714172855,65.61290741,0.2,0.351
Chile,2015,186,0.375034342,82.84638214,0.004,0.596
China,2015,33129,2.02243256,42.43072891,0.318,0.412
Czech,2015,258,1.972847232,65.62409973,0.015,0.655
Denmark,2015,1268,2.914093489,81.02908325,0.039,0.662
Finland,2015,1296,3.14750818,88.88166046,0.043,0.695
France,2015,8122,2.27591667,61.51047897,0.251,0.617
Germany,2015,18077,2.877840495,65.50390625,0.442,0.637
Greece,2015,108,0.833297289,122.4020004,0.004,0.701
Hungary,2015,277,1.349144472,52.01586914,0.016,0.696
Ireland,2015,443,1.523060953,73.81323242,0.039,0.436
Italy,2015,3643,1.338404821,61.70275116,0.087,0.637
Korea,2015,14494,4.077864757,94.85205078,0.068,0.438
Mexico,2015,335,0.435489806,31.0941391,0.019,0.406
Netherlands,2015,3709,1.975677482,,0.127,0.557
NewZealand,2015,311,,77.98130035,0.011,0.469
Norway,2015,659,1.715061764,77.54350281,0.021,0.609
Poland,2015,544,0.939776684,68.44716644,0.025,0.61
Portugal,2015,222,1.289916954,65.50357056,0.008,0.613
Russia,2015,993,1.072411198,78.46309662,0.043,0.482
Singapore,2015,840,2.084635613,,0.065,0.439
Slovenia,2015,85,2.3654796,82.23113251,0.003,0.696
SouthAfrica,2015,301,0.771150624,19.80924034,0.009,0.542
Spain,2015,1795,1.242131185,85.4462738,0.073,0.594
Sweden,2015,3222,3.10183759,62.18059158,0.118,0.645
Switzerland,2015,2572,,57.22972107,0.208,0.624
UK,2015,6331,1.643404491,56.5644989,0.304,0.521
US,2015,53592,2.718388695,88.6268692,0.62,0.814
Austria,2016,1543,3.049690499,80.71942139,0.079,0.638
Belgium,2016,1357,2.428165588,74.55976105,0.1,0.635
Canada,2016,3086,1.693242854,64.78695679,0.208,0.428
Chile,2016,157,0.380727106,85.26672363,0.002,0.47
China,2016,42818,2.05701037,46.04042816,0.35,0.45
Czech,2016,228,1.929233604,64.48162842,0.011,0.68
Denmark,2016,1306,3.054966503,82.12949371,0.051,0.627
Finland,2016,1356,2.871963479,87.67987061,0.042,0.723
France,2016,7661,2.267030775,62.78593063,0.225,0.619
Germany,2016,18754,2.930025346,67.74687195,0.434,0.657
Greece,2016,121,0.961207155,,0.005,0.761
Hungary,2016,263,1.346519917,48.96213913,0.017,0.601
Ireland,2016,480,1.182764363,77.23214722,0.044,0.495
Italy,2016,3651,1.33850443,60.93946075,0.086,0.634
Korea,2016,14984,3.978200252,94.33984375,0.07,0.452
Mexico,2016,316,0.429856312,31.8190403,0.016,0.467
Netherlands,2016,3514,1.984873799,80.5699234,0.11,0.561
NewZealand,2016,281,1.232297512,80.56337738,0.01,0.492
Norway,2016,801,1.935260327,77.9589386,0.021,0.59
Poland,2016,400,1.003236785,66.94615173,0.023,0.547
Portugal,2016,214,1.243297938,61.75632858,0.008,0.627
Russia,2016,1126,1.100852282,79.93813324,0.051,0.421
Singapore,2016,807,2.181981045,,0.054,0.458
Slovenia,2016,93,2.19564741,80.26098633,0.003,0.742
SouthAfrica,2016,294,0.798459349,,0.008,0.566
Spain,2016,1758,1.222357297,85.61177826,0.071,0.616
Sweden,2016,3395,3.21903452,62.28247833,0.115,0.651
Switzerland,2016,2628,3.371602153,57.70735168,0.218,0.596
UK,2016,6257,1.649854765,56.45848846,0.3,0.539
US,2016,54110,2.716597951,88.88941193,0.621,0.807
Austria,2017,1564,3.119235669,83.45494843,0.081,0.628
Belgium,2017,1214,2.522521966,75.89064026,0.103,0.644
Canada,2017,2943,1.728728459,66.43917847,0.19,0.411
Chile,2017,167,0.369342945,87.18814087,0.003,0.63
China,2017,48734,2.10032842,48.01902008,0.36,0.465
Czech,2017,205,1.680145245,63.7481308,0.02,0.515
Denmark,2017,1304,3.092833563,81.05674744,0.044,0.653
Finland,2017,1384,2.724418209,86.97852325,0.053,0.722
France,2017,7394,2.222383891,64.72767639,0.228,0.609
Germany,2017,18919,2.94098963,69.58058929,0.422,0.671
Greece,2017,121,0.993937565,131.540863,0.007,0.689
Hungary,2017,223,1.190070996,48.03886032,0.013,0.593
Ireland,2017,446,1.168675544,77.55713654,0.041,0.46
Italy,2017,3552,1.366422477,60.93732834,0.091,0.622
Korea,2017,15523,3.987037181,94.03362274,0.057,0.454
Mexico,2017,286,0.38798442,38.43338013,0.017,0.384
Netherlands,2017,3154,1.996846558,80.36483765,0.107,0.542
NewZealand,2017,248,,81.77039337,0.008,0.479
Norway,2017,710,2.04460213,80.54653931,0.02,0.639
Poland,2017,358,0.964082384,67.00454712,0.021,0.676
Portugal,2017,203,1.280749327,63.25564957,0.009,0.574
Russia,2017,1125,1.102380719,80.63262177,0.054,0.467
Singapore,2017,854,2.076293075,83.940979,0.061,0.486
Slovenia,2017,126,2.011449666,77.84908295,0.005,0.549
SouthAfrica,2017,264,0.818822569,20.9184494,0.006,0.524
Spain,2017,1651,1.19047619,86.51608276,0.067,0.61
Sweden,2017,3260,3.247361117,63.54801941,0.134,0.645
Switzerland,2017,2684,,58.04695129,0.197,0.626
UK,2017,6071,1.660232957,58.42562103,0.315,0.543
US,2017,53621,2.760293326,88.83505249,0.623,0.811
